"verb","Agency{agent}_Label","Annotator1_raw","Annotator2_raw","Annotator3_raw",,,
"sobers","+",1,0,0,,,
"tangles","+",1,1,0,,,
"thins","+",1,1,0,,,
"disguises","+",0,0,1,,,
"silhouettes","-",-1,0,-1,,,
"enhances","+",0,1,1,,,
"discharges","+",1,1,1,,,
"sneaks","+",1,0,0,,,
"fetches","+",0,0,1,,,
"sounds","+",1,0,0,,,
"rivets","+",1,0,1,,,
"affords","=",1,0,-1,,,
"peddles","+",1,1,1,,,
"surveys","+",1,1,1,,,
"stifles","+",1,1,1,,,
"exists","-",-1,-1,0,,,
"participates","+",1,1,0,,,
"dawns","-",-1,-1,0,,,
"returns","+",1,1,0,,,
"squashes","+",1,1,1,,,
"gives","+",1,0,1,,,
"slashes","+",1,1,1,,,
"eyes","=",0,0,0,,,
"labors","+",1,0,1,,,
"releases","+",1,1,0,,,
"appreciates","-",-1,0,0,,,
"surges","+",1,0,0,,,
"eliminates","+",1,1,1,,,
"massages","+",1,1,1,,,
"cops","+",1,0,1,,,
"herds","+",0,1,1,,,
"absorbs","+",1,0,0,,,
"circulates","+",1,1,0,,,
"bobs","=",1,0,-1,,,
"cracks","+",1,0,1,,,
"favors","+",0,1,0,,,
"lugs","+",1,1,1,,,
"accesses","=",0,-1,1,,,
"smirks","-",-1,-1,1,,,
"chugs","+",1,1,1,,,
"strolls","=",-1,1,0,,,
"browses","+",1,0,1,,,
"depresses","=",-1,1,0,,,
"buries","+",1,1,1,,,
"decapitates","+",1,1,1,,,
"occupies","+",1,0,0,,,
"clambers","+",1,0,0,,,
"bugs","+",0,1,0,,,
"fascinates","-",0,0,-1,,,
"tastes","+",0,0,1,,,
"prays to","-",-1,1,-1,,,
"sells","+",1,0,1,,,
"twinkles","=",0,0,0,,,
"confesses","+",1,0,0,,,
"converges","=",1,0,-1,,,
"intends","-",1,-1,-1,,,
"acquires","+",1,1,1,,,
"bets","+",1,1,-1,,,
"sprawls","=",-1,0,1,,,
"coils","+",1,1,1,,,
"suspects","+",0,0,1,,,
"falls","+",1,1,-1,,,
"contrasts","+",0,0,1,,,
"pages","+",0,0,1,,,
"probes","+",1,0,1,,,
"overtakes","+",1,1,1,,,
"fills","+",-1,1,1,,,
"trembles","-",0,-1,0,,,
"cuddles","=",1,0,-1,,,
"disperses","+",1,1,1,,,
"crosses out","+",1,0,1,,,
"murmurs","=",0,0,0,,,
"imagines","=",-1,1,0,,,
"hopes","=",0,0,0,,,
"spaces","+",1,1,0,,,
"slops","+",0,1,0,,,
"babbles","+",1,0,0,,,
"hustles","+",1,1,1,,,
"pivots","+",1,0,1,,,
"sinks","+",1,1,1,,,
"enriches","+",1,0,1,,,
"storms","+",0,1,1,,,
"collapses","+",1,1,1,,,
"tears","+",1,1,1,,,
"seduces","+",1,1,1,,,
"blinds","+",1,1,1,,,
"narrows","+",1,1,0,,,
"contracts","+",1,1,0,,,
"fends off","+",1,1,1,,,
"agrees on","+",0,1,0,,,
"navigates","+",1,0,1,,,
"designates","+",1,1,0,,,
"blends","+",1,1,1,,,
"floods","+",1,1,1,,,
"communicates","=",1,0,-1,,,
"slaughters","+",1,1,1,,,
"checks","=",1,0,-1,,,
"jokes","=",1,0,-1,,,
"bombs","+",1,1,1,,,
"worries","-",-1,0,-1,,,
"reels","-",1,-1,-1,,,
"reveals","+",1,1,0,,,
"encourages","+",0,1,0,,,
"arouses","+",1,1,1,,,
"declares","+",1,0,1,,,
"ignores","+",-1,1,1,,,
"collects","+",1,0,0,,,
"dives","+",0,0,1,,,
"violates","+",1,1,1,,,
"surfaces","+",1,-1,1,,,
"bewilders","=",1,0,-1,,,
"fails","-",-1,-1,0,-1,-1,-1
"gags","+",1,1,1,,,
"chatters","+",0,1,0,,,
"justifies","+",0,0,1,,,
"mops","+",1,1,1,,,
"invokes","+",1,0,0,1,1,0
"chews","+",1,1,1,,,
"enjoys","-",0,-1,0,,,
"rebuilds","+",1,1,1,,,
"smooths","+",-1,1,1,,,
"decks","+",1,1,1,,,
"spars","+",1,0,1,,,
"unlocks","+",1,1,0,,,
"farts","-",0,-1,0,,,
"grieves","-",0,0,-1,,,
"suppresses","+",1,1,0,,,
"analyzes","-",-1,1,-1,,,
"awards","+",0,1,0,,,
"multiplies","=",1,-1,0,,,
"hurts","+",1,1,1,,,
"moans","+",1,0,0,,,
"crucifies","+",1,1,1,,,
"dates","+",1,1,0,,,
"mans","+",0,1,1,,,
"wanders","-",-1,0,0,,,
"spits at","+",1,1,1,,,
"trades","+",1,0,0,,,
"blasts","+",1,1,1,,,
"converses","+",1,0,1,,,
"concentrates","=",1,0,-1,,,
"wheels","+",1,0,1,,,
"comes","+",1,0,0,,,
"stretches","+",1,0,1,,,
"mails","+",1,1,1,,,
"compels","+",1,1,1,,,
"sulks","-",-1,0,-1,,,
"grants","+",1,1,0,,,
"spans","-",-1,-1,-1,,,
"hunches","-",-1,-1,-1,,,
"cranks","+",1,1,1,,,
"considers","-",0,0,-1,,,
"panics","+",1,-1,1,,,
"combines","+",1,1,1,,,
"punishes","+",1,1,1,,,
"booms","+",0,1,0,,,
"cares","+",1,0,0,,,
"edits","+",1,1,1,,,
"blackmails","+",1,1,1,,,
"escalates","+",1,0,1,,,
"throttles","+",1,1,1,,,
"laces","+",1,1,0,,,
"wants","-",-1,0,0,,,
"juts","+",0,1,0,,,
"radiates","=",0,0,0,,,
"hits","+",1,1,1,,,
"wounds","+",1,1,1,,,
"spills","+",1,0,0,,,
"educates","+",1,1,0,,,
"rubs","+",1,0,0,,,
"implores","+",1,0,0,,,
"winks","=",0,1,-1,,,
"endures","-",0,0,-1,,,
"squeezes","+",1,1,1,,,
"shops","+",0,1,1,,,
"hunts","+",1,1,1,,,
"punches","+",1,1,1,,,
"twists","+",1,1,1,,,
"consults","+",0,0,1,,,
"impales","+",1,1,0,,,
"converts","+",1,1,1,,,
"baths","+",0,1,1,,,
"engages","+",1,0,1,,,
"thrills","+",1,0,0,,,
"bags","+",1,1,1,,,
"shuts","+",1,1,1,,,
"exhales","+",0,1,0,,,
"threatens","+",1,0,1,,,
"shifts","+",1,1,0,,,
"verifies","=",0,0,0,,,
"buys","+",1,1,1,,,
"hauls","+",1,1,1,,,
"musters","+",0,1,1,,,
"wires","+",1,0,1,,,
"assigns","+",1,1,1,,,
"devours","+",1,1,1,,,
"drives","+",1,1,-1,,,
"cheers","+",1,1,0,,,
"edges","+",1,0,0,,,
"investigates","+",1,1,1,,,
"plops","+",0,1,1,,,
"fishtails","=",0,1,-1,,,
"muffles","+",1,1,1,,,
"deflates","+",1,1,1,,,
"escorts","+",0,1,1,,,
"traps","+",1,1,1,,,
"charges","+",0,1,1,,,
"flies","+",1,0,1,,,
"convenes","+",1,0,0,,,
"costs","+",1,1,0,,,
"pummels","+",1,1,1,,,
"trains","+",0,1,1,1,1,1
"loosens","+",1,0,1,,,
"defers","=",1,-1,0,,,
"heaps","+",1,1,1,,,
"founds","+",1,1,0,,,
"alerts","+",1,0,1,,,
"strangles on","=",1,-1,0,,,
"sputters","+",0,0,1,,,
"captures","+",1,1,0,,,
"sights","+",1,0,0,,,
"surrenders","-",0,0,-1,,,
"shouts","+",1,1,1,,,
"wrecks","+",1,1,1,,,
"guides","+",0,1,1,,,
"refills","+",1,1,0,,,
"seems","-",-1,-1,0,,,
"poises","+",0,1,1,,,
"churns","+",1,1,1,,,
"lets","=",-1,1,0,,,
"quickens","+",1,0,1,,,
"kills","+",1,1,1,,,
"rules","+",1,1,1,,,
"docks","+",1,1,0,,,
"confines","+",0,1,1,,,
"gestures","=",1,0,-1,,,
"overlooks","-",-1,-1,1,,,
"schedules","+",1,0,0,,,
"stuns","+",0,0,1,,,
"pounds","+",1,1,1,,,
"reduces","+",1,0,1,,,
"conducts","+",1,0,0,,,
"serves","=",0,-1,1,,,
"dislodges","+",1,0,0,,,
"saunters","+",1,0,1,,,
"recalls","-",0,0,-1,,,
"slings","+",1,0,1,,,
"specifies","+",0,1,0,,,
"snatches","+",1,1,1,,,
"hacks","+",1,1,1,,,
"exposes","+",1,1,0,,,
"thinks","+",0,1,0,,,
"swaps","+",1,1,1,,,
"frees","+",1,1,1,,,
"cleanses","+",1,1,1,,,
"beckons","+",0,1,1,,,
"provides","+",1,1,1,,,
"belches","+",1,-1,1,,,
"drenches","+",1,1,1,,,
"terrifies","+",1,0,0,,,
"destroys","+",1,1,1,,,
"equips","+",1,1,0,,,
"retains","+",0,1,1,,,
"nails","+",1,0,1,,,
"strangles","+",1,1,1,,,
"credits","+",0,1,1,,,
"sniffs","=",-1,1,0,,,
"drums","+",1,1,-1,,,
"shushes","+",0,0,1,,,
"flinches","-",0,0,-1,,,
"refers","+",0,1,1,,,
"manufactures","+",1,1,1,,,
"collides","+",0,1,0,,,
"supervises","+",1,1,1,,,
"hampers","+",0,1,0,,,
"stations","+",1,1,1,,,
"paints","+",1,0,1,,,
"peruses","+",0,1,1,,,
"mixes","+",1,0,1,,,
"preoccupies","=",1,0,-1,,,
"subdues","+",1,1,1,,,
"obeys","-",-1,0,-1,,,
"baffles","+",1,0,1,,,
"unpacks","+",1,1,0,,,
"discusses","+",1,0,0,,,
"knits","+",1,1,0,,,
"barrels","+",1,1,1,,,
"cautions","=",1,0,-1,,,
"lands","+",0,0,1,,,
"protests","+",1,1,1,,,
"curses","=",0,1,-1,,,
"honks","+",1,1,-1,,,
"disrupts","+",1,1,1,,,
"accumulates","=",1,0,-1,,,
"wads","+",1,1,1,,,
"accounts","=",1,0,-1,,,
"imitates","=",1,-1,0,,,
"unnerves","+",0,0,1,,,
"shells","+",1,1,0,,,
"bristles","=",1,0,-1,,,
"betrays","+",1,1,1,,,
"taunts","+",1,0,1,,,
"rumbles","+",1,1,0,,,
"stars","+",1,-1,1,,,
"alleges","+",0,1,0,,,
"assumes","-",0,0,-1,,,
"pretends","+",1,0,1,,,
"chats","+",1,0,1,,,
"survives","-",0,0,-1,,,
"seethes","+",1,0,0,,,
"recommends","+",1,0,0,,,
"elects","+",1,1,0,,,
"mourns","+",1,0,0,,,
"drains","+",1,1,1,,,
"replies","-",-1,0,0,,,
"pitches","+",1,0,0,,,
"strikes","+",1,1,1,,,
"illuminates","+",1,0,0,,,
"plucks","+",1,1,1,,,
"shrugs","+",1,0,0,,,
"borders","-",-1,-1,-1,,,
"thumps","+",0,1,0,,,
"drills","+",1,1,1,,,
"rags","+",1,0,0,,,
"arranges","+",1,1,1,,,
"mobilizes","+",1,0,1,,,
"begs","+",1,0,0,,,
"trips","+",1,1,1,,,
"gouges","+",1,1,1,,,
"carves","+",1,1,1,,,
"protrudes","-",-1,-1,0,,,
"annoys","+",0,1,0,,,
"straightens","+",0,1,1,,,
"watches","=",0,0,0,,,
"trickles","-",0,-1,0,,,
"arises","+",1,0,0,,,
"walks","+",1,0,1,,,
"cringes","-",0,-1,-1,,,
"moves","+",1,1,1,,,
"spends","+",1,0,0,,,
"fiddles","=",1,0,-1,,,
"drafts","+",0,1,0,,,
"grapples with","+",1,1,1,,,
"hurtles","+",1,-1,1,,,
"stumbles","-",0,0,-1,,,
"administers","+",0,1,1,,,
"fools","+",1,0,1,,,
"decorates","+",1,1,0,,,
"wields","+",1,1,0,1,0,0
"includes","+",0,1,0,,,
"dies","-",-1,-1,-1,,,
"clenches","+",1,1,1,,,
"stocks","+",1,0,1,,,
"revolves around","=",0,0,0,,,
"calls","+",0,1,0,,,
"casts","+",0,1,0,,,
"tricks","+",1,1,0,,,
"wets","+",0,1,0,,,
"roams","-",1,-1,-1,,,
"resembles","-",-1,-1,-1,,,
"peeks","-",0,0,-1,,,
"transports","+",1,1,1,,,
"strings","+",0,1,0,,,
"insists on","+",1,0,1,,,
"swirls","+",1,1,1,,,
"ceases","-",-1,0,0,,,
"seals","+",1,1,1,,,
"upholds","+",1,1,1,,,
"crumples","+",1,1,1,,,
"talks","+",0,1,0,,,
"causes","+",1,1,1,,,
"preserves","+",1,0,0,,,
"fakes out","+",1,0,0,,,
"squats","+",0,1,0,,,
"erects","+",1,1,1,,,
"rants","+",1,0,1,,,
"subsides","-",-1,0,-1,,,
"pledges","+",0,1,1,,,
"puffs","+",1,0,0,,,
"grinds","+",1,1,0,,,
"wavers","=",1,0,-1,,,
"puzzles","-",-1,-1,-1,,,
"flails","=",1,0,-1,,,
"bubbles","+",-1,1,1,,,
"splits","+",1,1,1,,,
"switches","+",1,1,0,,,
"blares","=",1,0,-1,,,
"disposes","+",1,1,-1,,,
"hushes","+",1,0,1,,,
"unwraps","+",1,1,1,,,
"dodges","+",1,1,0,,,
"heaves","+",1,1,1,,,
"situates","+",1,1,1,,,
"grabs","+",1,1,1,,,
"swims","+",1,1,1,,,
"displays","=",1,0,-1,,,
"undulates","+",1,0,0,,,
"envisions","=",0,0,0,,,
"crests","=",0,1,-1,,,
"feigns","+",1,1,1,,,
"fixates on","-",0,0,-1,,,
"witnesses","-",0,0,-1,,,
"frightens","+",1,0,1,,,
"dwells","=",0,1,-1,,,
"recruits","+",0,1,0,,,
"tags","+",1,1,1,,,
"litters","+",1,0,1,,,
"quiets","+",1,1,1,,,
"answers","=",0,0,0,,,
"ranges","+",1,0,0,,,
"tracks","+",1,1,0,,,
"threads","+",1,0,1,,,
"rakes","+",1,1,0,,,
"shrieks","+",1,0,1,,,
"publishes","+",1,1,1,,,
"horrifies","=",-1,0,1,,,
"creeps","=",1,0,-1,,,
"allows","+",1,1,0,,,
"gleams","-",0,-1,0,,,
"bulges","-",1,-1,-1,,,
"rehearses","+",1,0,1,,,
"singles out","+",0,0,1,,,
"mentions","=",-1,1,0,,,
"skids","=",-1,1,0,,,
"corrects","+",1,1,0,,,
"votes","+",1,0,0,,,
"screens","=",0,1,-1,,,
"empties","+",1,1,1,,,
"pulls","+",1,1,0,,,
"darkens","=",1,0,-1,,,
"takes","+",1,1,1,,,
"contains","+",1,1,0,,,
"slants","-",1,-1,-1,,,
"tacks","+",1,1,0,,,
"widens","+",1,1,1,,,
"wobbles","-",0,-1,-1,,,
"wipes","+",1,1,1,,,
"glowers","=",-1,1,0,,,
"hisses","+",0,0,1,,,
"commences","+",1,1,-1,,,
"pads","+",1,1,1,,,
"toys with","+",1,0,1,,,
"marks","+",1,1,0,,,
"constructs","+",1,1,1,,,
"chucks","+",1,1,0,,,
"initiates","+",0,1,0,,,
"evolves","+",1,0,0,,,
"debates","+",1,1,1,,,
"wracks","+",1,1,0,,,
"sweeps","+",1,1,1,,,
"guards","+",1,-1,1,,,
"patrols","+",0,1,1,,,
"halts","+",1,1,0,,,
"wrestles","+",1,0,1,,,
"tows","+",0,1,1,,,
"wails","-",0,0,-1,,,
"purchases","+",1,1,1,,,
"pushes","+",1,1,1,,,
"prods","+",1,0,0,,,
"states","+",1,0,0,,,
"contradicts","+",1,1,0,,,
"protects","+",1,0,1,,,
"numbers","+",1,0,1,,,
"lacks","-",-1,-1,-1,,,
"rustles","+",-1,1,1,,,
"extinguishes","+",1,1,1,,,
"needs","-",-1,-1,-1,,,
"calms","+",1,0,1,,,
"unties","+",1,1,0,,,
"chops","+",1,1,1,,,
"acts","+",0,1,1,,,
"thumbs","=",1,0,-1,,,
"shrouds","+",-1,1,1,,,
"thaws","+",1,1,1,,,
"hugs","+",1,1,1,,,
"ratifies","+",1,1,0,,,
"explains","+",1,0,0,,,
"plans","+",1,0,1,,,
"charms","+",1,1,1,,,
"creaks","=",1,-1,0,,,
"sponsors","+",1,0,1,,,
"tries","+",0,1,1,,,
"waves","+",1,1,-1,,,
"restrains","+",1,1,1,,,
"infects","+",1,1,0,,,
"derives","+",1,0,0,,,
"douses","+",1,1,1,,,
"prefers","-",0,-1,-1,,,
"encases","+",1,1,1,,,
"eats","+",1,1,0,,,
"hypnotizes","+",0,1,0,,,
"seizes","+",1,1,1,,,
"telephones","+",1,1,1,,,
"banks","+",1,0,1,,,
"pans","+",1,1,-1,,,
"gauges","+",1,0,0,,,
"stains","+",0,0,1,,,
"dons","+",0,1,1,,,
"decays","-",-1,-1,-1,,,
"filters","+",1,0,0,,,
"signs","+",1,-1,1,,,
"ejects","+",1,0,1,,,
"roots","+",1,0,0,,,
"discloses","+",1,0,0,,,
"licks","+",1,1,1,,,
"freaks out","=",0,0,0,,,
"jostles","+",0,1,1,,,
"bows","+",1,0,1,,,
"averts","+",1,1,0,,,
"disagrees","+",1,0,0,,,
"crawls","+",1,0,1,,,
"pleads","+",0,0,1,,,
"abandons","+",0,1,1,,,
"gropes","+",0,1,1,,,
"tumbles","+",1,-1,1,,,
"bandages","+",1,1,1,,,
"nestles","+",0,1,1,,,
"walls","+",0,1,0,,,
"motivates","+",1,1,1,,,
"anticipates","+",0,0,1,,,
"lightens","+",1,0,1,,,
"results in","-",-1,0,0,,,
"subtitles","+",1,1,-1,,,
"hails","+",0,1,1,,,
"characterizes","=",1,0,-1,,,
"vetos","+",1,1,0,,,
"accommodates","+",1,0,0,,,
"courses","=",-1,0,1,,,
"reassures","+",1,0,0,,,
"sketches","+",1,1,1,,,
"weighs","=",-1,1,0,,,
"bends","+",1,1,1,,,
"posts","+",0,1,0,,,
"obtains","+",1,1,1,,,
"loops","+",1,1,0,,,
"exasperates","+",1,0,0,,,
"dominates","+",1,1,1,,,
"scoops","+",0,1,1,,,
"induces","+",1,1,0,,,
"trusts","-",0,0,-1,,,
"disbelieves","+",1,0,0,,,
"misses","-",1,-1,-1,,,
"occurs","-",-1,-1,-1,,,
"denounces","+",1,1,0,,,
"overturns","+",1,1,1,,,
"earns","+",0,1,1,,,
"utters","+",0,0,1,,,
"commits","+",1,1,0,,,
"houses","+",1,1,0,,,
"crouches","-",-1,0,-1,,,
"bows to","-",0,0,-1,1,-1,0
"rises","+",1,0,0,,,
"contorts","+",1,1,1,,,
"benefits","-",0,0,-1,,,
"reinforces","+",1,0,0,,,
"dribbles","+",1,0,0,,,
"omits","+",0,1,1,,,
"throws","+",1,1,1,,,
"knots","+",1,1,1,,,
"clutters","+",1,0,0,,,
"crunches","+",0,1,1,,,
"stabs","+",1,1,1,,,
"speeds up","+",1,1,1,,,
"jogs","+",1,1,1,,,
"slithers","+",0,1,1,,,
"gazes","=",0,0,0,,,
"neglects","=",-1,0,1,,,
"fees","=",0,1,-1,,,
"says","+",1,0,0,,,
"cups","+",0,1,1,,,
"rents","+",0,0,1,,,
"passes","+",1,0,1,,,
"heads","+",0,0,1,,,
"interviews","+",1,1,0,,,
"cradles","+",1,1,-1,,,
"clings to","+",0,1,1,,,
"hangs","+",1,1,1,,,
"bloodies","+",1,1,0,,,
"whoops","=",0,1,-1,,,
"flings","+",1,0,1,,,
"penetrates","+",1,1,1,,,
"finances","+",0,1,0,,,
"squirts","+",1,1,0,,,
"implements","+",1,1,0,,,
"drapes","+",1,1,1,,,
"convinces","+",1,1,1,,,
"values","-",0,0,-1,,,
"severs","+",1,1,1,,,
"stirs","+",1,1,1,,,
"relieves","+",1,-1,1,,,
"supposes","=",0,0,0,,,
"determines","+",0,1,1,,,
"aims","+",1,0,1,,,
"dogs","=",-1,1,0,,,
"defends","+",1,1,0,,,
"risks","=",0,0,0,,,
"dispenses","+",1,1,1,,,
"taxis","+",1,0,0,,,
"plugs in","+",1,1,1,,,
"remembers","=",0,0,0,,,
"ditches","+",1,0,1,,,
"fights","+",1,1,1,,,
"ages","-",-1,-1,-1,,,
"rewards","+",1,0,1,,,
"idles","-",-1,-1,-1,,,
"showers","+",1,1,1,,,
"trudges","+",0,1,0,,,
"confirms","+",1,1,0,,,
"squints","=",-1,0,1,,,
"orders","+",1,0,1,,,
"assails","+",1,0,1,,,
"interferes","+",1,1,1,,,
"commemorates","+",1,1,0,,,
"flares","+",1,0,0,,,
"lifts","+",1,1,0,,,
"relies","-",0,-1,0,,,
"mends","+",1,1,1,,,
"hires","+",1,1,1,,,
"approves","+",0,1,1,,,
"sets","+",1,1,1,,,
"bustles","+",1,0,1,,,
"experiences","-",-1,-1,-1,,,
"darts","+",1,1,0,,,
"wastes","=",0,1,-1,,,
"intervenes","+",1,0,1,,,
"understands","=",0,0,0,,,
"dissolves","+",1,1,1,,,
"lumbers","+",1,0,1,,,
"drifts","=",1,0,-1,,,
"fashions","+",0,1,0,,,
"stones","+",1,1,1,,,
"giggles","+",1,1,0,,,
"mimes","+",0,1,0,,,
"cruises","+",1,1,0,,,
"commissions","+",1,0,0,,,
"perches","+",1,0,0,,,
"registers","+",0,1,0,,,
"teeters","-",-1,1,-1,,,
"howls","+",1,0,1,,,
"scorches","+",1,1,1,,,
"chimes","-",1,-1,-1,,,
"wraps","+",1,1,1,,,
"awakens","+",1,0,1,,,
"deserts","+",1,1,1,,,
"points at","+",1,0,1,,,
"writes","+",1,1,1,,,
"grazes","+",0,1,1,,,
"explodes","+",1,1,1,,,
"distributes","+",1,1,1,,,
"gains","+",0,0,1,,,
"beams","+",0,1,0,,,
"chars","+",1,1,-1,,,
"feels","=",0,-1,1,,,
"boils","+",1,1,0,,,
"plasters","+",1,1,1,,,
"compiles","+",1,0,0,,,
"wheezes","=",1,0,-1,,,
"catches","+",0,1,1,,,
"spikes","+",1,1,1,,,
"adapts","+",1,0,1,,,
"repulses","-",0,-1,-1,,,
"nibbles","+",1,1,1,,,
"engraves","+",1,1,1,,,
"hobbles","+",1,0,1,,,
"coughs","=",0,-1,1,,,
"sacrifices","+",1,1,0,,,
"mistakes","=",0,0,0,,,
"doubles","+",1,1,1,,,
"weaves","+",1,1,1,,,
"crams","+",1,0,1,,,
"bars","+",0,1,1,,,
"retracts","+",0,1,1,,,
"declines","+",1,1,0,,,
"achieves","+",1,0,1,,,
"squeaks","=",1,0,-1,,,
"sips","+",1,1,1,,,
"disorients","+",1,1,0,,,
"repairs","+",1,1,1,,,
"learns","=",0,0,0,,,
"pictures","=",0,0,0,,,
"blurs","+",0,0,1,,,
"fans","+",1,1,1,,,
"splatters","+",0,1,0,,,
"survives on","+",-1,1,1,,,
"fidgets","=",1,0,-1,,,
"renews","+",1,1,1,,,
"screeches","+",1,0,0,,,
"confiscates","+",1,1,1,,,
"alters","+",1,1,1,,,
"intimidates","+",1,1,1,,,
"floats","-",0,-1,-1,,,
"depicts","+",0,0,1,,,
"blazes","=",0,0,0,,,
"riddles","+",1,0,0,,,
"memorizes","=",0,0,0,,,
"improves","+",1,1,1,,,
"tightens","+",1,1,1,,,
"observes","-",0,-1,0,,,
"finds","=",1,0,-1,,,
"batters","+",1,1,1,,,
"regulates","+",1,1,1,,,
"reasons","+",1,0,0,,,
"ravages","+",1,1,1,,,
"corresponds","-",0,0,-1,,,
"skips","-",-1,0,0,,,
"dances","+",0,1,1,,,
"likes","=",0,0,0,,,
"steels","+",0,1,1,,,
"ensures","+",1,1,0,,,
"cowers","-",0,-1,0,,,
"describes","+",1,1,0,,,
"slits","+",1,1,1,,,
"delights","+",1,0,0,,,
"slips","+",1,0,0,,,
"compromises","+",0,0,1,,,
"packs","+",1,0,1,,,
"dusts","+",1,1,1,,,
