,verb,oricat,pos,neg,equal
0,declare,pos,assert,intend,presume
1,strike,pos,attack,fear,struggle
2,pull,pos,push,keep,put
3,dump,pos,trash,overflow,waste
4,scowl,pos,frown,grimace,glower
5,cluster,pos,cloud,correspond,correspond
6,inflict,pos,injure,suffer,endanger
7,dust,pos,surface,rust,waste
8,pan,pos,bake,crumble,inch
9,leaf,pos,plant,rust,bark
10,sacrifice,pos,honor,desire,pray
11,mandate,pos,impose,regard,reconsider
12,encase,pos,encircle,protrude,enclose
13,free,pos,get,enjoy,access
14,bellow,pos,howl,wail,squeal
15,elect,pos,appoint,defer,defer
16,reverse,pos,switch,result,result
17,plaster,pos,paint,glitter,bark
18,reason,pos,think,doubt,suppose
19,bandage,pos,wound,flap,shin
20,distort,pos,exaggerate,misunderstand,depress
21,choke,pos,strangle,bleed,strangle
22,comprehend,pos,interpret,perceive,grasp
23,prevail,pos,arise,endure,struggle
24,divide,pos,split,perceive,multiply
25,sneer,pos,scowl,smirk,glower
26,swoop,pos,pounce,vanish,glide
27,carve,pos,chop,intend,imitate
28,interview,pos,talk,hear,brief
29,lumber,pos,mill,rot,bark
30,pinch,pos,squeeze,relish,pry
31,wind,pos,storm,snow,swell
32,unhook,pos,unscrew,fixate,pry
33,drown,pos,suffocate,weep,cry
34,sidestep,pos,evade,defer,defer
35,investigate,pos,assess,analyze,examine
36,promise,pos,bring,desire,hope
37,excite,pos,arouse,fascinate,attract
38,bubble,pos,boom,fart,slide
39,locate,pos,discover,analyze,verify
40,cross,pos,corner,border,side
41,peruse,pos,browse,ponder,indulge
42,rouse,pos,arouse,doze,appall
43,occupy,pos,invade,belong,possess
44,salute,pos,honor,acknowledge,congratulate
45,wake,pos,awake,sleep,cry
46,erupt,pos,explode,subside,gush
47,study,pos,survey,analyze,examine
48,hide,pos,conceal,want,cloak
49,shred,pos,chop,crumble,chill
50,drain,pos,sink,overflow,waste
51,harden,pos,soften,crumble,darken
52,confuse,pos,distract,misunderstand,presume
53,pee,pos,squirt,fart,sniff
54,belch,pos,sneeze,fart,inhale
55,strain,pos,stress,ache,isolate
56,shake,pos,knock,shudder,let
57,bound,pos,hold,remain,leave
58,forbid,pos,prohibit,obey,presume
59,ram,pos,dodge,idle,flash
60,thunder,pos,roar,dawn,cry
61,soothe,pos,relieve,relax,cuddle
62,level,pos,lower,lack,well
63,conclude,pos,argue,assume,presume
64,waltz,pos,dance,dawn,fiddle
65,renounce,pos,denounce,surrender,resign
66,knot,pos,tie,bow,fishtail
67,strap,pos,buckle,flap,pocket
68,crunch,pos,dip,slump,lend
69,shove,pos,yank,choke,pry
70,clamber,pos,scurry,slink,stoop
71,bet,pos,gamble,guess,suppose
72,set,pos,will,have,put
73,feign,pos,exaggerate,flinch,squirm
74,volunteer,pos,participate,benefit,attend
75,ice,pos,melt,snow,chill
76,contest,pos,win,spot,invite
77,irritate,pos,aggravate,linger,endanger
78,buckle,pos,strap,flap,pocket
79,soil,pos,ground,rot,contaminate
80,enforce,pos,impose,obey,cooperate
81,splash,pos,dash,float,tap
82,startle,pos,frighten,flinch,bewilder
83,rent,pos,house,stay,pay
84,devote,pos,dedicate,intend,concentrate
85,rebuild,pos,restore,need,lose
86,scrawl,pos,scribble,grimace,skitter
87,despise,pos,criticize,hate,envy
88,demand,pos,increase,expect,concern
89,click,pos,link,please,button
90,refill,pos,dispense,bleed,tap
91,pick,pos,get,want,go
92,earn,pos,reward,qualify,pay
93,underscore,pos,emphasize,precede,reiterate
94,test,pos,determine,result,result
95,limit,pos,restrict,assume,require
96,perfect,pos,fit,cool,look
97,stow,pos,fasten,recline,pocket
98,saw,pos,last,see,remember
99,clothe,pos,undress,grieve,dwell
100,educate,pos,encourage,recognize,learn
101,elaborate,pos,construct,fancy,imagine
102,burrow,pos,crawl,cave,furrow
103,center,pos,front,tower,side
104,rob,pos,steal,dawn,bob
105,calm,pos,quiet,relax,chill
106,influence,pos,affect,regard,concern
107,tiptoe,pos,saunter,slink,stoop
108,approve,pos,authorize,defer,disapprove
109,smoke,pos,fire,smell,inhale
110,clasp,pos,buckle,flap,latch
111,cost,pos,purchase,estimate,pay
112,obtain,pos,acquire,receive,verify
113,mumble,pos,grumble,snicker,mutter
114,amble,pos,saunter,wander,stroll
115,preside,pos,appoint,witness,resign
116,scoff,pos,sneer,snicker,obsess
117,gnaw,pos,chew,slink,writhe
118,date,pos,time,wait,notice
119,add,pos,make,want,put
120,strengthen,pos,reinforce,desire,focus
121,anchor,pos,hook,float,latch
122,knock,pos,beat,forget,let
123,decapitate,pos,impale,repulse,strangle
124,bank,pos,credit,interest,account
125,rein,pos,restrain,falter,oblige
126,quiet,pos,calm,stay,stroll
127,acquaint,pos,instruct,intend,oblige
128,threaten,pos,undermine,cease,endanger
129,induce,pos,stimulate,undergo,characterize
130,hammer,pos,wrench,face,pry
131,tow,pos,hitch,bow,tire
132,forgive,pos,confess,pray,excuse
133,deploy,pos,integrate,rely,communicate
134,chuck,pos,wrench,choke,bob
135,shop,pos,store,fancy,go
136,confirm,pos,suggest,assume,verify
137,measure,pos,determine,estimate,predict
138,hover,pos,rotate,float,scroll
139,hoist,pos,crane,tower,skid
140,bear,pos,hunt,face,dog
141,pop,pos,rap,cool,rock
142,convict,pos,prosecute,witness,court
143,intrude,pos,disturb,linger,endanger
144,mark,pos,point,spot,record
145,screech,pos,shriek,wail,squeal
146,discard,pos,toss,accept,accumulate
147,mime,pos,dance,attribute,animate
148,warm,pos,dry,cool,chill
149,disperse,pos,dissipate,vanish,contaminate
150,post,pos,comment,reply,read
151,disarm,pos,subdue,repulse,strangle
152,flood,pos,storm,trickle,concern
153,convey,pos,portray,relate,communicate
154,cover,pos,top,need,put
155,knit,pos,stitch,slouch,pant
156,prosecute,pos,punish,intend,cooperate
157,nod,pos,chuckle,smirk,wink
158,broadcast,pos,show,live,live
159,chuckle,pos,giggle,snicker,sigh
160,promote,pos,encourage,benefit,attract
161,increase,pos,decrease,benefit,result
162,offer,pos,provide,receive,require
163,wreck,pos,crash,stumble,freak
164,complete,pos,provide,need,course
165,hypnotize,pos,seduce,fascinate,mesmerize
166,deafen,pos,disorientate,perplex,appall
167,preserve,pos,maintain,keep,serve
168,squash,pos,chop,relish,sport
169,wall,pos,floor,tower,side
170,bath,pos,shower,lounge,mirror
171,swap,pos,exchange,want,put
172,quit,pos,stop,keep,lose
173,resist,pos,prevent,worry,tolerate
174,peep,pos,buckle,peek,wink
175,suspect,pos,murder,doubt,warrant
176,rocket,pos,bomb,tower,fuel
177,envelop,pos,engulf,recede,enclose
178,scream,pos,yell,wail,cry
179,haul,pos,tow,trip,skid
180,prop,pos,pull,reel,put
181,trigger,pos,cause,occur,recoil
182,dismantle,pos,demolish,intend,cooperate
183,demolish,pos,dismantle,crumble,reconsider
184,rear,pos,front,flap,tire
185,explain,pos,describe,know,understand
186,start,pos,begin,keep,go
187,fight,pos,battle,survive,struggle
188,revise,pos,amend,intend,reconsider
189,unlock,pos,activate,puzzle,flash
190,disguise,pos,conceal,fear,cloak
191,pet,pos,litter,keep,dog
192,pave,pos,dangle,sparkle,envision
193,cheat,pos,hack,puzzle,pal
194,handle,pos,pull,need,latch
195,tail,pos,nose,bow,side
196,intimidate,pos,harass,impress,endanger
197,switch,pos,disconnect,monitor,button
198,gyrate,pos,undulate,throb,writhe
199,rehearse,pos,improvise,ponder,memorize
200,comb,pos,brush,bow,bristle
201,leap,pos,jump,realize,imagine
202,produce,pos,generate,result,yield
203,swirl,pos,whirl,shimmer,spatter
204,adopt,pos,implement,consider,reconsider
205,open,pos,close,need,access
206,tear,pos,hurt,bleed,cry
207,prod,pos,rap,perplex,usher
208,fuss,pos,bother,worry,whine
209,flirt,pos,seduce,impress,wink
210,solve,pos,resolve,need,answer
211,act,pos,conduct,matter,respect
212,reopen,pos,postpone,wait,reconsider
213,praise,pos,applaud,deserve,pray
214,distribute,pos,solicit,intend,communicate
215,dishevel,pos,unnerve,perplex,appall
216,ignite,pos,spark,smolder,blaze
217,disclose,pos,withhold,acknowledge,verify
218,convene,pos,preside,intend,attend
219,cure,pos,treat,suffer,cough
220,rule,pos,impose,regard,respect
221,beat,pos,win,hear,lose
222,chip,pos,pin,clock,flash
223,navigate,pos,explore,analyze,learn
224,file,pos,document,attribute,request
225,slug,pos,barrel,choke,recoil
226,react,pos,respond,perceive,behave
227,hand,pos,finger,face,put
228,speed,pos,fast,idle,pulse
229,attach,pos,detach,need,enclose
230,crumple,pos,stiffen,cower,hyperventilate
231,floor,pos,wall,lounge,mat
232,print,pos,copy,silhouette,picture
233,preach,pos,proclaim,pray,pray
234,boil,pos,simmer,subside,chill
235,patrol,pos,assault,border,blaze
236,interrupt,pos,transmit,pause,communicate
237,batter,pos,pan,crumble,put
238,reconcile,pos,confront,relate,struggle
239,organize,pos,gather,intend,invite
240,supply,pos,demand,flow,fuel
241,shut,pos,stop,keep,let
242,defeat,pos,battle,encounter,struggle
243,finish,pos,round,rust,shine
244,appraise,pos,scrutinize,analyze,examine
245,damage,pos,harm,occur,risk
246,thaw,pos,freeze,crumble,chill
247,lick,pos,tease,drool,sniff
248,commission,pos,approve,interest,pay
249,blend,pos,combine,cool,concentrate
250,desert,pos,land,cave,rock
251,humiliate,pos,embarrass,impress,strangle
252,wear,pos,dress,sweat,pant
253,invade,pos,destroy,roam,endanger
254,spin,pos,twist,wobble,drift
255,meet,pos,bring,need,attend
256,gulp,pos,slurp,shudder,gasp
257,brandish,pos,wield,cower,flail
258,fashion,pos,dress,fancy,look
259,board,pos,commission,sit,put
260,cradle,pos,swivel,recline,latch
261,assess,pos,evaluate,analyze,examine
262,trace,pos,detect,analyze,isolate
263,sharpen,pos,broaden,analyze,darken
264,reaffirm,pos,affirm,acknowledge,reiterate
265,progress,pos,continue,result,project
266,motivate,pos,inspire,impress,attract
267,embrace,pos,abandon,desire,envision
268,right,pos,get,want,go
269,stick,pos,pull,keep,put
270,justify,pos,argue,consider,excuse
271,prohibit,pos,restrict,cease,require
272,mow,pos,plow,roam,stagger
273,double,pos,single,spot,put
274,murder,pos,arrest,witness,court
275,drape,pos,ruffle,silhouette,pant
276,overwhelm,pos,frustrate,linger,endanger
277,edit,pos,file,reply,button
278,scoot,pos,scamper,slink,skitter
279,probe,pos,investigate,monitor,pulse
280,cloud,pos,wind,snow,shadow
281,kill,pos,destroy,survive,let
282,sight,pos,rifle,glimpse,gaze
283,delight,pos,thrill,relish,indulge
284,stretch,pos,pull,rest,pant
285,careen,pos,hurtle,agonize,pulsate
286,remove,pos,rid,need,put
287,enter,pos,proceed,follow,leave
288,claim,pos,deny,believe,respect
289,brush,pos,comb,blush,bristle
290,grope,pos,fondle,stumble,squirm
291,unwrap,pos,unroll,peek,cuddle
292,embarrass,pos,humiliate,impress,endanger
293,lift,pos,pull,rest,skid
294,determine,pos,evaluate,analyze,examine
295,ground,pos,soil,spot,stand
296,man,pos,say,know,mind
297,restore,pos,recover,need,lose
298,spill,pos,leak,stink,contaminate
299,boot,pos,install,slouch,pant
300,do,pos,think,want,let
301,utter,pos,insult,disgust,excuse
302,undertake,pos,conduct,intend,require
303,flick,pos,film,cool,screen
304,deepen,pos,broaden,reflect,focus
305,bat,pos,ball,spot,freak
306,fend,pos,survive,survive,struggle
307,derive,pos,interpret,correspond,correspond
308,steel,pos,wire,rust,inch
309,topple,pos,overthrow,falter,strangle
310,seize,pos,confiscate,surrender,grasp
311,explode,pos,burst,vanish,gush
312,pace,pos,steady,expect,focus
313,translate,pos,interpret,analyze,communicate
314,pack,pos,bag,keep,pocket
315,transmit,pos,signal,correspond,communicate
316,shell,pos,layer,bow,pocket
317,accord,pos,mandate,regard,cooperate
318,raise,pos,increase,benefit,pay
319,tumble,pos,plunge,plummet,slide
320,hit,pos,smash,slump,put
321,specify,pos,assign,attribute,verify
322,collide,pos,explode,materialize,converge
323,group,pos,join,benefit,focus
324,ravage,pos,devastate,roam,contaminate
325,visit,pos,trip,trip,check
326,glare,pos,scowl,stare,gaze
327,advise,pos,inform,hesitate,presume
328,roar,pos,thunder,wail,purr
329,tidy,pos,clean,keep,look
330,reward,pos,earn,deserve,pay
331,cast,pos,film,feature,watch
332,score,pos,win,result,count
333,phone,pos,telephone,please,screen
334,squirt,pos,pee,fart,gush
335,arc,pos,beam,curve,angle
336,transform,pos,create,reflect,envision
337,diminish,pos,weaken,subside,endanger
338,sentence,pos,pardon,appeal,warrant
339,stiffen,pos,harden,tremble,shiver
340,warn,pos,ignore,fail,caution
341,mouth,pos,spit,face,eye
342,transfix,pos,disorientate,fascinate,mesmerize
343,peddle,pos,steer,fixate,stoop
344,protect,pos,prevent,keep,endanger
345,submit,pos,publish,receive,request
346,cruise,pos,sail,trip,go
347,detonate,pos,bomb,smolder,endanger
348,bang,pos,blow,fart,freak
349,cheer,pos,shout,impress,greet
350,counter,pos,sink,clock,side
351,minimize,pos,reduce,worry,risk
352,brighten,pos,lighten,glow,darken
353,discover,pos,uncover,realize,learn
354,accommodate,pos,allow,consist,require
355,improve,pos,enhance,benefit,focus
356,clutch,pos,brake,flap,latch
357,contact,pos,call,please,request
358,marry,pos,seduce,wish,let
359,treat,pos,cure,suffer,well
360,suspend,pos,terminate,defer,reconsider
361,supervise,pos,oversee,observe,cooperate
362,scribble,pos,scrawl,agonize,memorize
363,bake,pos,cook,crumble,chill
364,persuade,pos,convince,impress,oblige
365,stake,pos,venture,interest,bid
366,loosen,pos,tighten,relax,pry
367,expose,pos,reveal,intend,examine
368,favor,pos,oppose,consider,reconsider
369,highlight,pos,emphasize,reflect,focus
370,disconnect,pos,switch,idle,latch
371,anticipate,pos,accomplish,expect,envision
372,swerve,pos,veer,wobble,stagger
373,disturb,pos,disrupt,haunt,endanger
374,approach,pos,focus,sense,focus
375,engage,pos,encourage,intend,cooperate
376,reveal,pos,uncover,glimpse,examine
377,lean,pos,thin,limp,lose
378,mill,pos,lumber,loom,waste
379,copy,pos,file,wish,read
380,detach,pos,attach,protrude,depress
381,undulate,pos,gyrate,glisten,pulsate
382,worsen,pos,aggravate,subside,endanger
383,pierce,pos,penetrate,breathe,pry
384,bug,pos,fix,overflow,tick
385,swat,pos,slap,crouch,sniff
386,renew,pos,revive,cease,reconsider
387,bless,pos,thank,pray,pray
388,row,pos,front,sit,count
389,shade,pos,color,glow,shadow
390,poke,pos,shove,sit,pry
391,hitch,pos,tow,rust,skid
392,weather,pos,rain,snow,chill
393,purchase,pos,buy,receive,pay
394,support,pos,provide,benefit,well
395,dare,pos,pretend,forget,let
396,contract,pos,deal,interest,pay
397,admit,pos,think,doubt,suppose
398,heft,pos,poise,slouch,lend
399,litter,pos,trash,smell,dog
400,stride,pos,trot,slouch,glide
401,groan,pos,moan,whimper,gasp
402,clench,pos,convulse,grimace,squirm
403,sneak,pos,grab,peek,creep
404,question,pos,explain,matter,answer
405,pad,pos,surface,flap,mat
406,prevent,pos,avoid,keep,risk
407,swig,pos,gulp,grimace,slosh
408,grow,pos,cultivate,survive,attract
409,mail,pos,send,address,request
410,furnish,pos,obtain,intend,oblige
411,hamper,pos,obstruct,impress,endanger
412,unbuckle,pos,unbutton,recline,hyperventilate
413,escape,pos,flee,survive,leave
414,rag,pos,mop,limp,mat
415,cause,pos,reason,happen,result
416,fold,pos,pull,flap,pocket
417,crack,pos,hack,need,fidget
418,complicate,pos,undermine,perplex,endanger
419,judge,pos,testify,appeal,court
420,total,pos,increase,estimate,count
421,graze,pos,herd,roam,feed
422,whisk,pos,stir,crumble,chill
423,escalate,pos,intensify,subside,endanger
424,adjoin,pos,acquaint,overlook,enclose
425,clean,pos,wash,keep,put
426,seduce,pos,tempt,impress,mesmerize
427,punch,pos,knock,choke,tap
428,tilt,pos,rotate,recline,angle
429,pursue,pos,seek,desire,cooperate
430,top,pos,edge,spot,side
431,direct,pos,provide,receive,access
432,bother,pos,complain,worry,suppose
433,thin,pos,layer,resemble,slick
434,massage,pos,bath,relax,indulge
435,clap,pos,shout,snicker,whoop
436,wet,pos,dry,sweat,slick
437,flop,pos,flip,limp,mistake
438,caress,pos,fondle,tremble,shiver
439,invest,pos,spend,intend,afford
440,shush,pos,blurt,sulk,mutter
441,enrage,pos,terrify,perplex,horrify
442,argue,pos,disagree,believe,presume
443,swarm,pos,plague,brood,attract
444,violate,pos,enforce,constitute,endanger
445,clip,pos,strap,reel,picture
446,oppose,pos,condemn,acknowledge,disapprove
447,pretend,pos,bother,forget,suppose
448,sing,pos,listen,hear,cry
449,enlist,pos,persuade,intend,oblige
450,rant,pos,ramble,hate,joke
451,mediate,pos,induce,underlie,cooperate
452,unscrew,pos,unhook,protrude,pry
453,cop,pos,murder,guess,joke
454,huddle,pos,scurry,sit,cuddle
455,confer,pos,exert,imply,entitle
456,dip,pos,plunge,relish,chill
457,hack,pos,cheat,fail,flash
458,zoom,pos,blur,fade,angle
459,film,pos,flick,feature,screen
460,flip,pos,flop,cool,slide
461,invoke,pos,assert,attribute,presume
462,polish,pos,nail,glitter,shine
463,comply,pos,enforce,obey,require
464,maintain,pos,ensure,keep,require
465,drill,pos,wrench,bow,bore
466,mix,pos,blend,cool,chill
467,tread,pos,lug,bleed,tire
468,prescribe,pos,administer,regard,require
469,steer,pos,plow,intend,skid
470,shift,pos,change,need,focus
471,hunt,pos,chase,roam,go
472,change,pos,shift,need,understand
473,type,pos,sort,attribute,like
474,gouge,pos,scrape,bleed,pry
475,programme,pos,undertake,benefit,project
476,ascend,pos,descend,recede,behold
477,space,pos,floor,sense,size
478,discharge,pos,drain,flow,pulse
479,sip,pos,drink,relax,sniff
480,jump,pos,leap,skip,go
481,sober,pos,awake,sense,mind
482,frown,pos,scowl,grimace,squint
483,mock,pos,insult,cringe,joke
484,frame,pos,shape,span,mirror
485,veer,pos,swerve,teeter,intersect
486,dot,pos,print,glitter,bob
487,search,pos,locate,need,found
488,unload,pos,load,wait,pry
489,secure,pos,ensure,keep,access
490,eject,pos,expel,protrude,depress
491,lurch,pos,careen,shudder,stagger
492,dab,pos,rub,blush,ooze
493,ball,pos,throw,spot,fumble
494,decrease,pos,increase,result,risk
495,stream,pos,broadcast,flow,feed
496,try,pos,make,want,go
497,spend,pos,invest,want,afford
498,slay,pos,devour,weep,behold
499,settle,pos,decide,intend,afford
500,graduate,pos,associate,experience,attend
501,raid,pos,attack,encounter,march
502,shelter,pos,rescue,survive,foster
503,stabilize,pos,strengthen,subside,depress
504,swipe,pos,grab,glance,gesture
505,stroke,pos,throttle,bleed,risk
506,attempt,pos,try,fail,excuse
507,work,pos,time,need,well
508,star,pos,cast,spot,picture
509,scatter,pos,sprinkle,wander,multiply
510,cap,pos,shield,flap,pocket
511,stamp,pos,stencil,glitter,note
512,wipe,pos,erase,sweat,let
513,roll,pos,pull,reel,slide
514,slice,pos,chop,relish,serve
515,care,pos,nurse,need,understand
516,blast,pos,bomb,hear,blaze
517,contrast,pos,color,reflect,characterize
518,engrave,pos,embroider,agonize,agonize
519,peck,pos,nibble,crouch,chirp
520,elevate,pos,heighten,impress,depress
521,giggle,pos,chuckle,snicker,gasp
522,crackle,pos,glaze,shimmer,sizzle
523,arrange,pos,organize,hesitate,arrive
524,rivet,pos,buckle,flap,latch
525,improvise,pos,rehearse,breathe,memorize
526,appoint,pos,elect,defer,resign
527,deprive,pos,compel,cease,endanger
528,fry,pos,cook,relish,sizzle
529,scratch,pos,scrape,rust,imagine
530,sling,pos,strap,bow,recoil
531,appeal,pos,dismiss,consider,court
532,ramble,pos,babble,wander,stroll
533,shave,pos,wash,bald,glide
534,concentrate,pos,focus,realize,focus
535,tune,pos,listen,hear,fiddle
536,dance,pos,waltz,live,rock
537,cultivate,pos,deepen,desire,attract
538,slip,pos,pull,flap,slide
539,discuss,pos,talk,consider,examine
540,flex,pos,grip,curve,angle
541,order,pos,purchase,need,require
542,tease,pos,lick,gag,squirm
543,thrill,pos,delight,enjoy,indulge
544,loop,pos,hook,curve,latch
545,snarl,pos,growl,grimace,purr
546,name,pos,list,address,like
547,trot,pos,gallop,wander,stroll
548,trudge,pos,saunter,wander,stagger
549,muffle,pos,deafen,snore,squeal
550,rattle,pos,clatter,chime,squeak
551,convince,pos,persuade,impress,let
552,inspect,pos,scrutinize,observe,verify
553,adapt,pos,evolve,survive,communicate
554,list,pos,page,see,check
555,console,pos,switch,monitor,screen
556,scurry,pos,scamper,cower,skitter
557,sketch,pos,outline,peek,picture
558,fool,pos,pretend,wonder,joke
559,coil,pos,wire,choke,latch
560,whip,pos,shake,sit,put
561,hurry,pos,rush,wait,let
562,implement,pos,integrate,intend,require
563,number,pos,indicate,address,count
564,become,pos,will,remain,well
565,clamp,pos,bolt,protrude,latch
566,buck,pos,hunt,guess,go
567,sprint,pos,race,curve,sport
568,exhale,pos,clench,breathe,inhale
569,urge,pos,encourage,desire,reconsider
570,ruin,pos,spoil,haunt,excuse
571,jolt,pos,lurch,shudder,shiver
572,abuse,pos,drug,suffer,neglect
573,nuzzle,pos,fondle,whimper,cuddle
574,assure,pos,ensure,regard,respect
575,expand,pos,broaden,intend,focus
576,soar,pos,rise,plummet,swell
577,comment,pos,post,reply,agree
578,retire,pos,quit,defer,resign
579,glaze,pos,crackle,shimmer,darken
580,storm,pos,rain,snow,blaze
581,represent,pos,indicate,reflect,correspond
582,panic,pos,stress,fear,anger
583,heat,pos,melt,sweat,chill
584,telephone,pos,phone,address,access
585,soak,pos,rinse,relax,indulge
586,challenge,pos,contest,doubt,struggle
587,bag,pos,pack,flap,pocket
588,overthrow,pos,topple,repulse,struggle
589,integrate,pos,incorporate,analyze,communicate
590,amend,pos,revise,intend,reconsider
591,drip,pos,drain,trickle,gush
592,join,pos,participate,want,invite
593,plan,pos,decide,consider,project
594,complain,pos,bother,hate,whine
595,mingle,pos,gather,linger,greet
596,disbelieve,pos,scoff,misunderstand,presume
597,blackmail,pos,kidnap,intrigue,strangle
598,blanch,pos,boil,flinch,darken
599,will,pos,continue,need,let
600,skin,pos,scar,face,eye
601,plague,pos,infect,fear,curse
602,plug,pos,disconnect,choke,tap
603,bail,pos,arrest,owe,court
604,tempt,pos,seduce,impress,indulge
605,drench,pos,douse,glisten,gush
606,tag,pos,name,attribute,button
607,clatter,pos,whirr,wail,clink
608,participate,pos,engage,receive,attend
609,revive,pos,restore,haunt,reconsider
610,sign,pos,right,see,notice
611,empty,pos,fill,rest,leave
612,intercept,pos,evade,analyze,verify
613,trap,pos,escape,choke,creep
614,cuff,pos,buckle,flap,pocket
615,spiral,pos,swirl,curve,slide
616,skim,pos,sift,skip,concentrate
617,situate,pos,appraise,contemplate,dwell
618,emit,pos,emanate,glow,radiate
619,gauge,pos,wire,monitor,inch
620,bounce,pos,jump,wobble,slide
621,trim,pos,lace,bow,pant
622,overtake,pos,dominate,falter,endanger
623,omit,pos,specify,skip,presume
624,ditch,pos,dig,skip,excuse
625,alarm,pos,alert,clock,pulse
626,inspire,pos,motivate,impress,attract
627,simmer,pos,boil,subside,sizzle
628,thank,pos,welcome,appreciate,hope
629,doom,pos,ruin,dread,curse
630,unite,pos,mobilize,desire,struggle
631,jam,pos,pop,relish,rock
632,gag,pos,tease,fart,joke
633,thump,pos,stomp,throb,squeak
634,clarify,pos,explain,intend,reiterate
635,yell,pos,scream,wail,cry
636,infect,pos,invade,lurk,contaminate
637,borrow,pos,repay,owe,lend
638,execute,pos,command,analyze,verify
639,mourn,pos,bury,grieve,pray
640,toss,pos,throw,sit,put
641,part,pos,end,rest,well
642,displace,pos,dislodge,recede,contaminate
643,mangle,pos,mutilate,misunderstand,flail
644,defend,pos,destroy,acknowledge,stand
645,rain,pos,storm,snow,chill
646,ting,pos,wad,sob,bawl
647,construct,pos,build,analyze,examine
648,commemorate,pos,celebrate,observe,congratulate
649,obliterate,pos,destroy,repulse,endanger
650,peer,pos,evaluate,trust,communicate
651,move,pos,push,want,let
652,swing,pos,bounce,wobble,slide
653,rack,pos,mount,tower,stand
654,generate,pos,create,analyze,attract
655,proceed,pos,decide,intend,go
656,diagnose,pos,detect,analyze,examine
657,depart,pos,proceed,wander,arrive
658,shriek,pos,screech,wail,squeal
659,outline,pos,illustrate,correspond,brief
660,undress,pos,fondle,slink,writhe
661,crank,pos,bolt,reel,latch
662,melt,pos,heat,crumble,chill
663,poison,pos,kill,fear,curse
664,return,pos,back,result,leave
665,corner,pos,front,spot,side
666,classify,pos,distinguish,analyze,characterize
667,stencil,pos,paint,glitter,mat
668,pile,pos,heap,sit,waste
669,indicate,pos,determine,correspond,correspond
670,carry,pos,bring,need,require
671,dispatch,pos,prompt,address,arrive
672,illustrate,pos,depict,relate,examine
673,ruffle,pos,lace,bow,pant
674,exaggerate,pos,distort,misunderstand,underestimate
675,emerge,pos,evolve,remain,struggle
676,chalk,pos,paint,glitter,mat
677,curl,pos,scrunch,limp,cuddle
678,introduce,pos,incorporate,intend,invite
679,annoy,pos,irritate,impress,bewilder
680,catch,pos,grab,spot,let
681,rearrange,pos,organize,analyze,memorize
682,affect,pos,interfere,depend,concern
683,drum,pos,pedal,reel,rock
684,rescue,pos,shelter,survive,dog
685,tell,pos,ask,know,let
686,wad,pos,ting,sob,sigh
687,roast,pos,cook,relish,sizzle
688,divert,pos,deflect,intend,endanger
689,whack,pos,smack,fart,freak
690,interpret,pos,distinguish,analyze,examine
691,chant,pos,recite,wail,cry
692,snap,pos,pull,flap,slide
693,talk,pos,speak,know,let
694,strangle,pos,suffocate,choke,squirm
695,pummel,pos,ravage,cower,strangle
696,refuse,pos,insist,accept,excuse
697,invent,pos,devise,realize,envision
698,brim,pos,cap,slouch,pocket
699,mount,pos,rack,tower,mirror
700,blow,pos,knock,face,let
701,battle,pos,fight,survive,struggle
702,reverberate,pos,emanate,linger,pulsate
703,ratify,pos,enact,defer,reconsider
704,shout,pos,yell,hear,cry
705,assault,pos,attack,witness,warrant
706,spook,pos,frighten,haunt,horrify
707,tackle,pos,pick,need,fumble
708,taste,pos,savor,smell,feel
709,buy,pos,purchase,want,afford
710,contort,pos,wriggle,grimace,writhe
711,dissipate,pos,absorb,subside,radiate
712,blind,pos,fool,fear,eye
713,say,pos,think,believe,suppose
714,sack,pos,bag,stink,fumble
715,voice,pos,sound,hear,cry
